Time,o_sample.time
0,0
0.0003,.0078125
0.0006,.01953125
0.0009,.03125
0.0012,.03515625
0.0015,.01953125
0.0018,-.015625
0.0021,-.0546875
0.0024,-.0859375
0.0027,-.0859375
0.003,-.046875
0.0033,.0234375
0.0036,.09375
0.0039,.125
0.0042,.09375
0.0045,.01171875
0.0048,-.0859375
0.0051,-.13671875
0.0054,-.09375
0.0057,.05078125
0.006,.24609375
0.0063,.41015625
0.0066,.44140625
0.0069,.29296875
0.0072,-.015625
0.0075,-.390625
0.0078,-.69140625
0.0081,-.796875
0.0084,-.64453125
0.0087,-.26953125
0.009,.20703125
0.0093,.625
0.0096,.84375
0.0099,.7890625
0.0102,.48046875
0.0105,.02734375
0.0108,-.41796875
0.0111,-.71484375
0.0114,-.76953125
0.0117,-.5703125
0.012,-.18359375
0.0123,.26171875
0.0126,.625
0.0129,.79296875
0.0132,.71875
0.0135,.42578125
0.0138,0
0.0141,-.42578125
0.0144,-.71875
0.0147,-.79296875
0.015,-.625
0.0153,-.265625
0.0156,.16796875
0.0159,.54296875
0.0162,.7421875
0.0165,.69921875
0.0168,.43359375
0.0171,.0234375
0.0174,-.3984375
0.0177,-.703125
0.018,-.796875
0.0183,-.64453125
0.0186,-.29296875
0.0189,.1484375
0.0192,.54296875
0.0195,.7734375
0.0198,.76171875
0.0201,.5234375
0.0204,.125
0.0207,-.3046875
0.021,-.6328125
0.0213,-.75390625
0.0216,-.6328125
0.0219,-.3046875
0.0222,.125
0.0225,.5234375
0.0228,.76171875
0.0231,.7734375
0.0234,.54296875
0.0237,.1484375
0.024,-.29296875
0.0243,-.64453125
0.0246,-.796875
0.0249,-.703125
0.0252,-.3984375
